N,CPU_NoScan(ms),CPU_WithScan(ms),GPU_Efficient(ms),placeholder
32,0.0001,0.0001,0.145408,0
64,0.0002,0.0001,0.130144,0
128,0.0003,0.0002,0.169984,0
256,0.0006,0.0004,0.160768,0
512,0.001,0.0007,0.346144,0
1024,0.0019,0.0014,0.144384,0
2048,0.004,0.0027,0.167936,0
4096,0.0068,0.0054,0.249856,0
8192,0.0131,0.0109,0.219136,0
16384,0.0283,0.0218,0.236544,0
32768,0.0531,0.0429,0.235744,0
65536,0.1104,0.1065,0.228384,0
131072,0.205,0.203,0.28896,0
262144,0.4296,0.4994,0.424192,0
524288,0.8932,0.8338,0.365728,0
1048576,1.9412,1.6671,0.45824,0
2097152,3.7989,3.3785,0.522208,0
4194304,7.3658,6.8169,0.544672,0
8388608,15.5282,13.5069,0.803296,0
16777216,29.3663,26.7081,2.29613,0
33554432,59.9327,53.0297,4.73888,0
67108864,118.652,107.464,8.74166,0
134217728,239.519,217.626,33.9799,0
