N,CPU(ms),Naive(ms),Efficient(ms),Thrust(ms)
32,0.0002,0.078848,0.714752,0.054272
64,0.0001,0.088256,0.202752,0.020608
128,0.0002,0.038912,0.073728,0.021376
256,0.0004,0.033792,0.072704,0.037216
512,0.0007,0.03792,0.07168,0.021568
1024,0.0014,0.051488,0.2048,0.036864
2048,0.0028,0.150848,0.12288,0.045056
4096,0.0054,0.427008,0.2048,0.031488
8192,0.0107,0.147456,0.229376,0.03152
16384,0.0217,0.14048,0.217088,0.0232
32768,0.0429,0.098144,0.262912,0.032736
65536,0.086,0.171904,0.269536,0.033696
131072,0.1722,0.19376,0.270752,0.0256
262144,0.3392,0.267904,0.256096,0.065536
524288,0.7777,0.250112,0.280864,0.066144
1048576,1.4798,0.256224,0.411456,0.088064
2097152,2.7349,0.34656,0.28576,0.039936
4194304,5.7117,0.476,0.337056,0.073728
8388608,11.214,0.775744,0.590048,0.07184
16777216,22.3268,3.66554,0.988992,0.20464
33554432,44.253,7.87965,3.17453,0.365568
67108864,88.5015,16.4404,6.50669,0.628736
134217728,176.424,69.4596,13.335,1.24861
